"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","extendedStats","team.name"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",28,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/294691.png?im=Scale,width=0.6,height=0.6","WL","CD_I294691",FALSE,28,"Tom","Bell","CD_T30",NA,89,1,1,NA,11,14,25,4,0,7,10,16,26,4,1,0,0,3,72,3,0,0,108,0,2,50,22.6,NA,"2018-01-24T05:31:21.915+0000",4,1,3,2,NA,NA,NA,10,475,0,1,1,7,63.6,0.8,18,1,0,38.5,0,0,0,9,1,0,20,4,2,0,0,0,0,1,0,0,NA,NA,NA,"CD_I294691",FALSE,28,"Tom","Bell","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",44,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/220015.png?im=Scale,width=0.6,height=0.6","RR","CD_I220015",FALSE,44,"Andrew","Carrazzo","CD_T30",NA,76,0,0,NA,9,9,18,2,0,2,9,10,19,3,0,0,0,1,88.9,2,1,2,54,0,0,0,10.5,NA,"2018-01-24T05:31:21.915+0000",3,1,0,0,NA,NA,NA,3,128,4,2,6,7,77.8,1,16,1,1,47.4,0,0,0,7,0,1,16,7,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I220015",FALSE,44,"Andrew","Carrazzo","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/990704.png?im=Scale,width=0.6,height=0.6","INT","CD_I990704",FALSE,9,"Patrick","Cripps","CD_T30",NA,76,0,0,NA,4,10,14,3,0,3,5,9,14,1,0,1,1,0,64.3,0,0,0,54,2,0,0,3.4,NA,"2018-01-24T05:31:21.915+0000",3,1,0,0,NA,NA,NA,2,16,0,1,1,1,25,0.4,9,0,0,35.7,0,0,0,4,0,2,10,6,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I990704",FALSE,9,"Patrick","Cripps","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",35,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/270146.png?im=Scale,width=0.6,height=0.6","R","CD_I270146",FALSE,35,"Ed","Curnow","CD_T30",NA,89,0,0,NA,6,13,19,4,0,5,10,10,20,0,0,1,0,2,78.9,2,1,1,74,2,0,0,7.9,NA,"2018-01-24T05:31:21.915+0000",3,6,0,0,NA,NA,NA,6,118,0,2,2,4,66.7,0.5,15,0,1,50,0,0,0,8,0,3,12,6,1,0,2,1,50,0,0,0,NA,NA,NA,"CD_I270146",FALSE,35,"Ed","Curnow","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",15,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/295518.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I295518",FALSE,15,"Sam","Docherty","CD_T30",NA,95,0,0,NA,15,8,23,8,1,5,10,13,23,2,0,0,0,4,91.3,0,2,0,107,5,1,0,14.1,NA,"2018-01-24T05:31:21.915+0000",2,12,1,0,NA,NA,NA,6,287,0,2,2,14,93.3,1.9,21,0,5,43.5,0,0,0,7,0,4,17,12,1,0,1,0,0,0,0,0,NA,NA,NA,"CD_I295518",FALSE,15,"Sam","Docherty","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",33,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/261257.png?im=Scale,width=0.6,height=0.6","HFFR","CD_I261257",FALSE,33,"Andrejs","Everitt","CD_T30",NA,95,0,1,NA,14,4,18,8,0,2,3,14,17,4,1,0,0,3,77.8,2,0,1,80,5,0,0,4.3,NA,"2018-01-24T05:31:21.915+0000",5,3,0,1,NA,NA,NA,4,464,0,1,1,12,85.7,3.5,14,0,0,17.6,0,0,0,3,0,1,14,8,3,0,1,0,0,1,0,0,NA,NA,NA,"CD_I261257",FALSE,33,"Andrejs","Everitt","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/250417.png?im=Scale,width=0.6,height=0.6","INT","CD_I250417",FALSE,4,"Bryce","Gibbs","CD_T30",NA,73,1,1,NA,15,11,26,4,1,4,9,17,26,3,1,1,0,0,50,6,0,2,96,3,0,33.3,7.1,NA,"2018-01-24T05:31:21.915+0000",6,3,0,3,NA,NA,NA,8,466,2,2,4,5,33.3,1.4,13,0,1,34.6,0,0,0,6,1,3,14,7,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I250417",FALSE,4,"Bryce","Gibbs","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",23,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/270326.png?im=Scale,width=0.6,height=0.6","FF","CD_I270326",FALSE,23,"Lachie","Henderson","CD_T30",NA,91,0,2,NA,9,1,10,6,0,2,4,7,11,4,0,1,0,3,60,2,0,1,54,0,1,0,8.7,NA,"2018-01-24T05:31:21.915+0000",3,0,1,2,NA,NA,NA,6,257,0,0,0,6,66.7,9,6,3,0,36.4,0,0,0,2,1,0,11,3,0,0,0,0,0,7,0,0,NA,NA,NA,"CD_I270326",FALSE,23,"Lachie","Henderson","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",18,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/294561.png?im=Scale,width=0.6,height=0.6","BPL","CD_I294561",FALSE,18,"Kristian","Jaksch","CD_T30",NA,88,1,0,NA,5,0,5,5,0,1,1,4,5,3,1,1,0,6,60,4,0,4,28,1,0,100,5.3,NA,"2018-01-24T05:31:21.915+0000",2,0,0,1,NA,NA,NA,2,199,0,0,0,3,60,0,3,1,0,20,0,0,0,0,0,0,4,1,6,0,5,2,40,1,0,0,NA,NA,NA,"CD_I294561",FALSE,18,"Kristian","Jaksch","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",40,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/261043.png?im=Scale,width=0.6,height=0.6","FB","CD_I261043",FALSE,40,"Michael","Jamison","CD_T30",NA,96,0,0,NA,4,4,8,2,0,1,3,5,8,1,0,0,0,6,62.5,1,0,0,30,1,0,0,5.2,NA,"2018-01-24T05:31:21.915+0000",2,4,0,0,NA,NA,NA,3,99,0,0,0,2,50,1,5,0,0,37.5,0,0,0,2,0,1,6,6,4,0,4,2,50,0,0,0,NA,NA,NA,"CD_I261043",FALSE,40,"Michael","Jamison","home",NA,"Carlton"
