"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",10,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1015047.png?im=Scale,width=0.6,height=0.6","INT","CD_I1015047",FALSE,10,"Mimi","Hill","CD_T8096",NA,72,0,0,NA,6,6,12,2,0,1,4,8,12,4,0,0,0,1,66.7,3,1,0,41,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",3,5,0,0,NA,NA,NA,0,120,NA,0,1,1,"CD_I1015047",FALSE,10,"Mimi","Hill","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",19,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/997745.png?im=Scale,width=0.6,height=0.6","R","CD_I997745",FALSE,19,"Georgia","Gee","CD_T8096",NA,88,0,1,NA,5,2,7,2,0,2,4,2,6,0,0,0,0,0,57.1,1,1,1,32,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",0,1,1,2,NA,NA,NA,1,-21,NA,0,0,0,"CD_I997745",FALSE,19,"Georgia","Gee","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",12,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1006996.png?im=Scale,width=0.6,height=0.6","WL","CD_I1006996",FALSE,12,"Lauren","Brazzale","CD_T8096",NA,75,0,0,NA,11,1,12,5,0,1,1,12,13,4,0,0,0,0,58.3,2,1,0,55,2,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",3,1,0,0,NA,NA,NA,1,329,NA,0,0,0,"CD_I1006996",FALSE,12,"Lauren","Brazzale","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",46,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998147.png?im=Scale,width=0.6,height=0.6","C","CD_I998147",FALSE,46,"Elise","O'Dea","CD_T8096",NA,80,0,0,NA,3,7,10,1,0,6,7,3,10,0,0,1,0,0,50,5,0,4,38,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",4,2,1,0,NA,NA,NA,0,56,NA,1,1,2,"CD_I998147",FALSE,46,"Elise","O'Dea","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",2,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007016.png?im=Scale,width=0.6,height=0.6","WR","CD_I1007016",FALSE,2,"Katie","Loynes","CD_T8096",NA,68,0,0,NA,4,2,6,0,0,6,4,2,6,0,0,0,0,2,16.7,6,2,4,30,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",4,1,0,0,NA,NA,NA,0,91,NA,0,2,2,"CD_I1007016",FALSE,2,"Katie","Loynes","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",32,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007025.png?im=Scale,width=0.6,height=0.6","FB","CD_I1007025",FALSE,32,"Natalie","Plane","CD_T8096",NA,84,0,0,NA,8,0,8,2,0,1,0,8,8,2,0,0,0,1,25,6,0,3,25,2,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",7,0,0,0,NA,NA,NA,1,233,NA,0,0,0,"CD_I1007025",FALSE,32,"Natalie","Plane","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",21,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998164.png?im=Scale,width=0.6,height=0.6","FF","CD_I998164",FALSE,21,"Nicola","Stevens","CD_T8096",NA,70,1,0,NA,4,7,11,0,0,4,9,1,10,0,0,0,0,1,54.5,1,2,0,50,1,0,100,NA,NA,"2021-05-19T05:41:01.875+0000",1,2,4,1,NA,NA,NA,2,87,NA,0,2,2,"CD_I998164",FALSE,21,"Nicola","Stevens","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998039.png?im=Scale,width=0.6,height=0.6","CHF","CD_I998039",FALSE,7,"Tayla","Harris","CD_T8096",NA,88,0,0,NA,4,2,6,3,0,4,5,2,7,2,1,1,2,2,50,4,2,3,36,1,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",3,1,3,1,NA,NA,NA,2,93,NA,0,0,0,"CD_I998039",FALSE,7,"Tayla","Harris","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007023.png?im=Scale,width=0.6,height=0.6","RK","CD_I1007023",FALSE,16,"Breann","Moody","CD_T8096",NA,62,0,0,NA,5,3,8,1,0,1,4,2,6,3,0,0,16,1,62.5,2,2,0,46,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",4,4,0,0,NA,NA,NA,0,159,NA,0,1,1,"CD_I1007023",FALSE,16,"Breann","Moody","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",11,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1005865.png?im=Scale,width=0.6,height=0.6","FPR","CD_I1005865",FALSE,11,"Jess","Hosking","CD_T8096",NA,81,1,1,NA,5,6,11,3,0,5,6,5,11,1,2,1,0,4,45.5,1,0,0,63,0,0,33.3,NA,NA,"2021-05-19T05:41:01.875+0000",2,4,0,3,NA,NA,NA,2,117,NA,0,0,0,"CD_I1005865",FALSE,11,"Jess","Hosking","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1012595.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1012595",FALSE,8,"Vaomua","Laloifi","CD_T8096",NA,88,0,0,NA,6,4,10,1,0,4,8,3,11,1,0,1,0,1,60,1,5,0,50,3,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",3,7,0,0,NA,NA,NA,0,198,NA,0,0,0,"CD_I1012595",FALSE,8,"Vaomua","Laloifi","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",18,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009888.png?im=Scale,width=0.6,height=0.6","INT","CD_I1009888",FALSE,18,"Madeline","Guerin","CD_T8096",NA,72,0,0,NA,7,0,7,2,0,1,7,2,9,1,0,0,0,0,71.4,2,1,0,32,5,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",2,7,0,0,NA,NA,NA,0,206,NA,0,0,0,"CD_I1009888",FALSE,18,"Madeline","Guerin","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009977.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I1009977",FALSE,9,"Kerryn","Harrington","CD_T8096",NA,90,1,0,NA,4,0,4,1,0,4,2,1,3,0,0,0,0,1,75,1,2,0,39,0,0,100,NA,NA,"2021-05-19T05:41:01.875+0000",1,2,1,1,NA,NA,NA,2,53,NA,0,0,0,"CD_I1009977",FALSE,9,"Kerryn","Harrington","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",17,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1010105.png?im=Scale,width=0.6,height=0.6","INT","CD_I1010105",FALSE,17,"Charlotte","Hammans","CD_T8096",NA,54,0,0,NA,4,1,5,0,0,0,0,5,5,1,0,0,0,1,60,2,0,0,14,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",2,0,0,0,NA,NA,NA,0,105,NA,0,0,0,"CD_I1010105",FALSE,17,"Charlotte","Hammans","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1013027.png?im=Scale,width=0.6,height=0.6","HFFL","CD_I1013027",FALSE,5,"Abbie","McKay","CD_T8096",NA,65,0,0,NA,0,10,10,0,0,7,9,2,11,0,0,0,0,3,60,3,0,2,42,1,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",1,3,1,0,NA,NA,NA,0,-12,NA,1,3,4,"CD_I1013027",FALSE,5,"Abbie","McKay","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",30,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1007003.png?im=Scale,width=0.6,height=0.6","INT","CD_I1007003",FALSE,30,"Alison","Downie","CD_T8096",NA,53,0,0,NA,1,2,3,1,0,0,2,1,3,0,0,1,10,0,66.7,1,0,0,20,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",1,2,0,0,NA,NA,NA,2,0,NA,0,0,0,"CD_I1007003",FALSE,30,"Alison","Downie","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/997663.png?im=Scale,width=0.6,height=0.6","HFFR","CD_I997663",FALSE,3,"Darcy","Vescio","CD_T8096",NA,94,1,0,NA,2,2,4,0,0,2,3,1,4,0,0,0,0,1,100,0,1,0,25,0,0,100,NA,NA,"2021-05-19T05:41:01.875+0000",0,0,1,1,NA,NA,NA,1,51,NA,0,0,0,"CD_I997663",FALSE,3,"Darcy","Vescio","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1014838.png?im=Scale,width=0.6,height=0.6","BPL","CD_I1014838",FALSE,31,"Brooke","Vernon","CD_T8096",NA,80,0,0,NA,4,1,5,1,0,3,1,4,5,0,0,0,0,2,80,1,1,1,27,0,0,0,NA,NA,"2021-05-19T05:41:01.875+0000",0,1,0,0,NA,NA,NA,0,75,NA,0,0,0,"CD_I1014838",FALSE,31,"Brooke","Vernon","home","Carlton"
"CD_M20212640101","2021-01-28T08:15:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 1",1,"IKON Park","Carlton","Carlton","Collingwood","Collingwood",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009885.png?im=Scale,width=0.6,height=0.6","RR","CD_I1009885",FALSE,4,"Madison","Prespakis","CD_T8096",NA,78,0,0,NA,9,9,18,1,0,3,14,5,19,2,0,1,0,0,61.1,6,3,3,54,1,1,0,NA,NA,"2021-05-19T05:41:01.875+0000",4,4,0,0,NA,NA,NA,1,224,NA,4,1,5,"CD_I1009885",FALSE,4,"Madison","Prespakis","home","Carlton"
